genre,director actor1 actor2 title,year,rating,releasedate
Comedy,Herschell Gordon Lewis Antoinette Maynard Jeanette Mills The Ecstasies of Women,1969,3.9,Apr-69
Adventure,Michael Feifer Amy Lyndon Wes Ramsey Dracula's Guest,2008,3.1,24-Jul-09
Horror,None Phil Stevens David Chopping Lung II,2016,5.8,17-Feb-16
Crime,None Matt Dillon James Caan City of Ghosts,2002,6,27-Mar-03
Action,Byron Q. Lorin Alond Ly Thai Ngo Raskal Love,2012,9.1,NA
Drama,Jamal Hill Keke Palmer Cory Hardrict Brotherly Love,2015,6.8,24-Apr-15
Comedy,Alex Ross Perry Carlen Altman Bob Byington The Color Wheel,2011,6.7,18-May-12
Comedy,None Jordan Black Alice Johnson Boher A Portrait of Female Desperation,2012,7.3,29-Sep-12
Comedy,None Max Azulay Matt Porter 5 Doctors,2016,8.1,27-Feb-18
Comedy,Scott Moore Miles Teller Justin Chon 21 & Over,2013,5.9,1-Mar-13
Drama,Matt Pizzolo Carlos Puga Keith Middleton Threat,2006,5.4,13-Jan-06
Documentary,Rosemary Rawcliffe The Dalai Lama Jetsun Pema Women of Tibet: Gyalyum Chemo - The Great Mother,2006,8.1,7-May-06
Comedy,Colin Hebert Patrick M. Brady Judy Cerda Slapdash,2005,8.2,NA
Drama,Brandon Nicholas Alex Carpenter Travis Munoz Beauty in Chaos,2004,8.2,NA
Thriller,Dave Parker Ivan Djurovic Rick Irwin It Watches,2016,3.7,6-Dec-16
Comedy,Heidi Arnesen Kathleen Fontaine Tara Howley Some Prefer Cake,1998,4.6,12-Jun-98
Horror,None Liam Makrogiannis Johnny Dickie Survive,2014,5.6,26-May-14
Horror,David Palmieri Cassie Daniels Chris Todd Axegrinder,2006,7.1,2006
Drama,Kenneth Horstmann Randall Bentley Leah Sims Upside,2010,5.9,5-Oct-10
Comedy,Sherrie Peterson Stacey Turner Ken R. Wheeler Dixie Times,2012,8.5,2012
Thriller,Julian Higgins Robert Thorne Jasmine Waltz Poker Run,2009,3.6,1-Dec-09
Comedy,Caroline Rankin William E. Smith Ayanna Fullilove Happy Holiday,2011,7.4,29-Jan-11
Comedy,None Susana Pineda Juan Carlos Fuentes Chencho Y Su Gran Dote,2006,7.5,4-Oct-06
Crime,Nigel Dick Clayton Rohner Ray Sharkey P.I. Private Investigations,1987,5.7,5-Jun-87
Horror,Lisa Palenica Priya Rai James Bartholet Isis Rising: Curse of the Lady Mummy,2013,1.9,18-Jan-13
Drama,None Jazsmin Lewis Thomas Mikal Ford Conflict of Interest,2017,7.3,2017
Drama,None Blake Webb Tatum Langton Alienate,2016,2.7,23-Feb-16
Crime,Richard Montoya Enrique Murciano Nicholas Gonzalez Water & Power,2013,6.2,2-May-14
Crime,Eric Gibson Michelle von Flotow Burke Morgan Vipers,1998,4.9,1998
Thriller,Patrick Marrero Anne Arceneaux Fayard Lindsey Trapped in Katrina,2009,3.1,8-Dec-09
Action,Roger Corman David Carradine Claudia Jennings Deathsport,1978,3.8,Apr-78
Comedy,John Hamburg Paul Rudd Jason Segel I Love You  Man,2009,7,20-Mar-09
